"","V1","V2"
"1","ALG13","KEGG_N_GLYCAN_BIOSYNTHESIS"
"2","DOLPP1","KEGG_N_GLYCAN_BIOSYNTHESIS"
"3","RPN1","KEGG_N_GLYCAN_BIOSYNTHESIS"
"4","ALG14","KEGG_N_GLYCAN_BIOSYNTHESIS"
"5","MAN1B1","KEGG_N_GLYCAN_BIOSYNTHESIS"
"6","ALG3","KEGG_N_GLYCAN_BIOSYNTHESIS"
"7","B4GALT1","KEGG_N_GLYCAN_BIOSYNTHESIS"
"8","MGAT5","KEGG_N_GLYCAN_BIOSYNTHESIS"
"9","RPN2","KEGG_N_GLYCAN_BIOSYNTHESIS"
"10","STT3A","KEGG_N_GLYCAN_BIOSYNTHESIS"
"11","MGAT3","KEGG_N_GLYCAN_BIOSYNTHESIS"
"12","DAD1","KEGG_N_GLYCAN_BIOSYNTHESIS"
"13","MGAT2","KEGG_N_GLYCAN_BIOSYNTHESIS"
"14","ALG12","KEGG_N_GLYCAN_BIOSYNTHESIS"
"15","TUSC3","KEGG_N_GLYCAN_BIOSYNTHESIS"
"16","MAN1C1","KEGG_N_GLYCAN_BIOSYNTHESIS"
"17","DPM2","KEGG_N_GLYCAN_BIOSYNTHESIS"
"18","DPM1","KEGG_N_GLYCAN_BIOSYNTHESIS"
"19","GANAB","KEGG_N_GLYCAN_BIOSYNTHESIS"
"20","ALG1","KEGG_N_GLYCAN_BIOSYNTHESIS"
"21","MGAT4A","KEGG_N_GLYCAN_BIOSYNTHESIS"
"22","ALG10B","KEGG_N_GLYCAN_BIOSYNTHESIS"
"23","STT3B","KEGG_N_GLYCAN_BIOSYNTHESIS"
"24","MAN1A2","KEGG_N_GLYCAN_BIOSYNTHESIS"
"25","ALG10","KEGG_N_GLYCAN_BIOSYNTHESIS"
"26","ALG11","KEGG_N_GLYCAN_BIOSYNTHESIS"
"27","ALG8","KEGG_N_GLYCAN_BIOSYNTHESIS"
"28","ALG2","KEGG_N_GLYCAN_BIOSYNTHESIS"
"29","DPAGT1","KEGG_N_GLYCAN_BIOSYNTHESIS"
"30","RFT1","KEGG_N_GLYCAN_BIOSYNTHESIS"
"31","DPM3","KEGG_N_GLYCAN_BIOSYNTHESIS"
"32","DDOST","KEGG_N_GLYCAN_BIOSYNTHESIS"
"33","MGAT4B","KEGG_N_GLYCAN_BIOSYNTHESIS"
"34","ALG6","KEGG_N_GLYCAN_BIOSYNTHESIS"
"35","MAN2A2","KEGG_N_GLYCAN_BIOSYNTHESIS"
"36","MAN1A1","KEGG_N_GLYCAN_BIOSYNTHESIS"
"37","MAN2A1","KEGG_N_GLYCAN_BIOSYNTHESIS"
"38","ST6GAL1","KEGG_N_GLYCAN_BIOSYNTHESIS"
"39","B4GALT3","KEGG_N_GLYCAN_BIOSYNTHESIS"
"40","ALG5","KEGG_N_GLYCAN_BIOSYNTHESIS"
"41","B4GALT2","KEGG_N_GLYCAN_BIOSYNTHESIS"
"42","MGAT5B","KEGG_N_GLYCAN_BIOSYNTHESIS"
"43","ALG9","KEGG_N_GLYCAN_BIOSYNTHESIS"
"44","MOGS","KEGG_N_GLYCAN_BIOSYNTHESIS"
"45","FUT8","KEGG_N_GLYCAN_BIOSYNTHESIS"
"46","MGAT1
","KEGG_N_GLYCAN_BIOSYNTHESIS"
"47","ENGASE","KEGG_OTHER_GLYCAN_DEGRADATION"
"48","GLB1","KEGG_OTHER_GLYCAN_DEGRADATION"
"49","MANBA","KEGG_OTHER_GLYCAN_DEGRADATION"
"50","MAN2B1","KEGG_OTHER_GLYCAN_DEGRADATION"
