"","V1","V2"
"1","ADAM28","Activated B cell"
"2","CD180","Activated B cell"
"3","CD79B","Activated B cell"
"4","BLK","Activated B cell"
"5","CD19","Activated B cell"
"6","MS4A1","Activated B cell"
"7","TNFRSF17","Activated B cell"
"8","IGHM","Activated B cell"
"9","GNG7","Activated B cell"
"10","MICAL3","Activated B cell"
"11","SPIB","Activated B cell"
"12","HLA-DOB","Activated B cell"
"13","IGKC","Activated B cell"
"14","PNOC","Activated B cell"
"15","FCRL2","Activated B cell"
"16","BACH2","Activated B cell"
"17","CR2","Activated B cell"
"18","TCL1A","Activated B cell"
"19","AKNA","Activated B cell"
"20","ARHGAP25","Activated B cell"
"21","CCL21","Activated B cell"
"22","CD27","Activated B cell"
"23","CD38","Activated B cell"
"24","CLEC17A","Activated B cell"
"25","CLEC9A","Activated B cell"
"26","CLECL1","Activated B cell"
"27","AIM2","Activated CD4 T cell"
"28","BIRC3","Activated CD4 T cell"
"29","BRIP1","Activated CD4 T cell"
"30","CCL20","Activated CD4 T cell"
"31","CCL4","Activated CD4 T cell"
"32","CCL5","Activated CD4 T cell"
"33","CCNB1","Activated CD4 T cell"
"34","CCR7","Activated CD4 T cell"
"35","DUSP2","Activated CD4 T cell"
"36","ESCO2","Activated CD4 T cell"
"37","ETS1","Activated CD4 T cell"
"38","EXO1","Activated CD4 T cell"
"39","EXOC6","Activated CD4 T cell"
"40","IARS","Activated CD4 T cell"
"41","ITK","Activated CD4 T cell"
"42","KIF11","Activated CD4 T cell"
"43","KNTC1","Activated CD4 T cell"
"44","NUF2","Activated CD4 T cell"
"45","PRC1","Activated CD4 T cell"
"46","PSAT1","Activated CD4 T cell"
"47","RGS1","Activated CD4 T cell"
"48","RTKN2","Activated CD4 T cell"
"49","SAMSN1","Activated CD4 T cell"
"50","SELL","Activated CD4 T cell"
"51","TRAT1","Activated CD4 T cell"
"52","ADRM1","Activated CD8 T cell"
"53","AHSA1","Activated CD8 T cell"
"54","C1GALT1C1","Activated CD8 T cell"
"55","CCT6B","Activated CD8 T cell"
"56","CD37","Activated CD8 T cell"
"57","CD3D","Activated CD8 T cell"
"58","CD3E","Activated CD8 T cell"
"59","CD3G","Activated CD8 T cell"
"60","CD69","Activated CD8 T cell"
"61","CD8A","Activated CD8 T cell"
"62","CETN3","Activated CD8 T cell"
"63","CSE1L","Activated CD8 T cell"
"64","GEMIN6","Activated CD8 T cell"
"65","GNLY","Activated CD8 T cell"
"66","GPT2","Activated CD8 T cell"
"67","GZMA","Activated CD8 T cell"
"68","GZMH","Activated CD8 T cell"
"69","GZMK","Activated CD8 T cell"
"70","IL2RB","Activated CD8 T cell"
"71","LCK","Activated CD8 T cell"
"72","MPZL1","Activated CD8 T cell"
"73","NKG7","Activated CD8 T cell"
"74","PIK3IP1","Activated CD8 T cell"
"75","PTRH2","Activated CD8 T cell"
"76","TIMM13","Activated CD8 T cell"
"77","ZAP70","Activated CD8 T cell"
"78","ABHD3","Central memory CD4 T cell"
"79","AHNAK","Central memory CD4 T cell"
"80","ANXA2P2","Central memory CD4 T cell"
"81","AQP3","Central memory CD4 T cell"
"82","ATHL1","Central memory CD4 T cell"
"83","BMI1","Central memory CD4 T cell"
"84","BZW2","Central memory CD4 T cell"
"85","CD63","Central memory CD4 T cell"
"86","COL4A1","Central memory CD4 T cell"
"87","CYLD","Central memory CD4 T cell"
"88","ELMO2","Central memory CD4 T cell"
"89","FYN","Central memory CD4 T cell"
"90","GLIPR1","Central memory CD4 T cell"
"91","GSS","Central memory CD4 T cell"
"92","IFITM2","Central memory CD4 T cell"
"93","ITGB1","Central memory CD4 T cell"
"94","ITGB2","Central memory CD4 T cell"
"95","KLF5","Central memory CD4 T cell"
"96","LSP1","Central memory CD4 T cell"
"97","NDUFB9","Central memory CD4 T cell"
"98","PKM2","Central memory CD4 T cell"
"99","SFXN3","Central memory CD4 T cell"
"100","SIRPG","Central memory CD4 T cell"
"101","SMAD4","Central memory CD4 T cell"
"102","STX4","Central memory CD4 T cell"
"103","TRADD","Central memory CD4 T cell"
"104","VIM","Central memory CD4 T cell"
"105","XRCC6","Central memory CD4 T cell"
"106","ACTN4","Central memory CD8 T cell"
"107","ADAM12","Central memory CD8 T cell"
"108","ADCY9","Central memory CD8 T cell"
"109","F13A1","Central memory CD8 T cell"
"110","FCER1G","Central memory CD8 T cell"
"111","FCGR3B","Central memory CD8 T cell"
"112","FGF7","Central memory CD8 T cell"
"113","FKBP4","Central memory CD8 T cell"
"114","GLUD1","Central memory CD8 T cell"
"115","GM2A","Central memory CD8 T cell"
"116","GUSB","Central memory CD8 T cell"
"117","IL1RN","Central memory CD8 T cell"
"118","NOL11","Central memory CD8 T cell"
"119","NTRK1","Central memory CD8 T cell"
"120","RARA","Central memory CD8 T cell"
"121","RNF128","Central memory CD8 T cell"
"122","SIGLEC1","Central memory CD8 T cell"
"123","TNFRSF11A","Central memory CD8 T cell"
"124","TOX4","Central memory CD8 T cell"
"125","UBA52","Central memory CD8 T cell"
"126","ULBP1","Central memory CD8 T cell"
"127","ATM","Effector memeory CD4 T cell"
"128","CASP3","Effector memeory CD4 T cell"
"129","CASQ1","Effector memeory CD4 T cell"
"130","CD300E","Effector memeory CD4 T cell"
"131","DARS","Effector memeory CD4 T cell"
"132","DOCK9","Effector memeory CD4 T cell"
"133","EXOSC9","Effector memeory CD4 T cell"
"134","EZH2","Effector memeory CD4 T cell"
"135","GDE1","Effector memeory CD4 T cell"
"136","IL34","Effector memeory CD4 T cell"
"137","NCOA4","Effector memeory CD4 T cell"
"138","NEFL","Effector memeory CD4 T cell"
"139","PDGFRL","Effector memeory CD4 T cell"
"140","PTGS1","Effector memeory CD4 T cell"
"141","REPS1","Effector memeory CD4 T cell"
"142","SCG2","Effector memeory CD4 T cell"
"143","SDPR","Effector memeory CD4 T cell"
"144","SIGLEC14","Effector memeory CD4 T cell"
"145","SIGLEC6","Effector memeory CD4 T cell"
"146","TAL1","Effector memeory CD4 T cell"
"147","TFEC","Effector memeory CD4 T cell"
"148","TIPIN","Effector memeory CD4 T cell"
"149","TPK1","Effector memeory CD4 T cell"
"150","UQCRB","Effector memeory CD4 T cell"
"151","USP9Y","Effector memeory CD4 T cell"
"152","WIPF1","Effector memeory CD4 T cell"
"153","ZCRB1","Effector memeory CD4 T cell"
"154","ACAP1","Effector memeory CD8 T cell"
"155","APOL3","Effector memeory CD8 T cell"
"156","ARHGAP10","Effector memeory CD8 T cell"
"157","ATP10D","Effector memeory CD8 T cell"
"158","C3AR1","Effector memeory CD8 T cell"
"159","CCR5","Effector memeory CD8 T cell"
"160","CD160","Effector memeory CD8 T cell"
"161","CD55","Effector memeory CD8 T cell"
"162","CFLAR","Effector memeory CD8 T cell"
"163","CMKLR1","Effector memeory CD8 T cell"
"164","DAPP1","Effector memeory CD8 T cell"
"165","FCRL6","Effector memeory CD8 T cell"
"166","FLT3LG","Effector memeory CD8 T cell"
"167","GZMM","Effector memeory CD8 T cell"
"168","HAPLN3","Effector memeory CD8 T cell"
"169","HLA-DMB","Effector memeory CD8 T cell"
"170","HLA-DPA1","Effector memeory CD8 T cell"
"171","HLA-DPB1","Effector memeory CD8 T cell"
"172","IFI16","Effector memeory CD8 T cell"
"173","LIME1","Effector memeory CD8 T cell"
"174","LTK","Effector memeory CD8 T cell"
"175","NFKBIA","Effector memeory CD8 T cell"
"176","SETD7","Effector memeory CD8 T cell"
"177","SIK1","Effector memeory CD8 T cell"
"178","TRIB2","Effector memeory CD8 T cell"
"179","ACP5","Gamma delta T cell"
"180","AQP9","Gamma delta T cell"
"181","BTN3A2","Gamma delta T cell"
"182","C1orf54","Gamma delta T cell"
"183","CARD8","Gamma delta T cell"
"184","CCL18","Gamma delta T cell"
"185","CD209","Gamma delta T cell"
"186","CD33","Gamma delta T cell"
"187","CD36","Gamma delta T cell"
"188","CDK5","Gamma delta T cell"
"189","IL10RB","Gamma delta T cell"
"190","KLRF1","Gamma delta T cell"
"191","LGALS1","Gamma delta T cell"
"192","MAPK7","Gamma delta T cell"
"193","KLHL7","Gamma delta T cell"
"194","KRT80","Gamma delta T cell"
"195","LAMC1","Gamma delta T cell"
"196","LCORL","Gamma delta T cell"
"197","LMNB1","Gamma delta T cell"
"198","MEIS3P1","Gamma delta T cell"
"199","MPL","Gamma delta T cell"
"200","FABP1","Gamma delta T cell"
"201","FABP5","Gamma delta T cell"
"202","FADD","Gamma delta T cell"
"203","MFAP3L","Gamma delta T cell"
"204","MINPP1","Gamma delta T cell"
"205","RPS24","Gamma delta T cell"
"206","RPS7","Gamma delta T cell"
"207","RPS9","Gamma delta T cell"
"208","DBNL","Gamma delta T cell"
"209","CCL13","Gamma delta T cell"
"210","CD22","Immature B cell"
"211","CYBB","Immature B cell"
"212","FAM129C","Immature B cell"
"213","FCRL1","Immature B cell"
"214","FCRL3","Immature B cell"
"215","FCRL5","Immature B cell"
"216","FCRLA","Immature B cell"
"217","HDAC9","Immature B cell"
"218","HLA-DQA1","Immature B cell"
"219","HVCN1","Immature B cell"
"220","KIAA0226","Immature B cell"
"221","NCF1","Immature B cell"
"222","NCF1B","Immature B cell"
"223","P2RY10","Immature B cell"
"224","SP100","Immature B cell"
"225","TXNIP","Immature B cell"
"226","STAP1","Immature B cell"
"227","TAGAP","Immature B cell"
"228","ZCCHC2","Immature B cell"
"229","AICDA","Memory B cell"
"230","CCNA2","Memory B cell"
"231","CDKN3","Memory B cell"
"232","CLCN5","Memory B cell"
"233","ENPP1","Memory B cell"
"234","FCER1A","Memory B cell"
"235","FCRL4","Memory B cell"
"236","MYC","Memory B cell"
"237","RUNX2","Memory B cell"
"238","SORL1","Memory B cell"
"239","SOX5","Memory B cell"
"240","STAT5A","Memory B cell"
"241","STAT5B","Memory B cell"
"242","TLR9","Memory B cell"
"243","CCL3L1","Regulatory T cell"
"244","CD72","Regulatory T cell"
"245","CLEC5A","Regulatory T cell"
"246","FOXP3","Regulatory T cell"
"247","ITGA4","Regulatory T cell"
"248","L1CAM","Regulatory T cell"
"249","LIPA","Regulatory T cell"
"250","LRP1","Regulatory T cell"
"251","LRRC42","Regulatory T cell"
"252","MARCO","Regulatory T cell"
"253","MMP12","Regulatory T cell"
"254","MNDA","Regulatory T cell"
"255","MRC1","Regulatory T cell"
"256","MS4A6A","Regulatory T cell"
"257","PELO","Regulatory T cell"
"258","PLEK","Regulatory T cell"
"259","PRSS23","Regulatory T cell"
"260","PTGIR","Regulatory T cell"
"261","ST8SIA4","Regulatory T cell"
"262","STAB1","Regulatory T cell"
"263","B3GAT1","T follicular helper cell"
"264","CDK5R1","T follicular helper cell"
"265","PDCD1","T follicular helper cell"
"266","BCL6","T follicular helper cell"
"267","CD200","T follicular helper cell"
"268","CD83","T follicular helper cell"
"269","CD84","T follicular helper cell"
"270","FGF2","T follicular helper cell"
"271","GPR18","T follicular helper cell"
