P056	P066	P069	P061	P072	P060	P077	P075	P058	P073	P065	P071	P078	P052	P053	P049	P054	P064	P070	P076	P059	P048	P003	P031	P008	P015	P017	P005	P057	P012	P006	P014	P004	P011	P010	P032	P051	P062	P067	P020	P023	P036	P002	P026	P055	P050	P030	P074	P009	P025	P007	P021	P022	P019	P029	P028	P027	P013	P045	P037	P042	P038	P034	P040	P039	P033	P044	P041	P043	P046	P016	P024	P035	P018
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0454908247659055	-0.258377492103791	0.0969595188006632	-0.0810607778375405	-0.12215807550209	0.0432205892304112	-0.199535747275932	0.37372433334429	0.0928184751953656	-0.199810337660254	0.197080099003714	0.0706091011538457	0.198942631827543	-0.0789457697608156	-0.196629126316585	-0.188319890937519	0.286022078387637	0.193439249709912	0.126287608124509	-0.20474847536949	-0.113161719164133	0.0941398686814969	0.182176912314852	0.373151740941175	0.0984170879500145	-0.127628159940886	0.152901631884488	0.183348408749315	0.178801595332273	0.079844158054623	0.303653625970303	0.0928204237245906	-0.323503020963784	0.342942762280551	0.0146022912144731	0.11182957575881	-0.120974129893072	-0.165340932074399	-0.159425757278359	-0.268381419259773	-0.20499074093664	0.126993481775521	0.248568453476533	-0.0382420660550027	-0.0239773055769038	0.182754260170832	0.30028543688052	0.131700296515594	0.151716598031138	-0.168026722302188	0.275538851288829	0.108534787185348	0.18268871257243	-0.100707321974903	0.411858237748464	0.133533146273039	0.224538976675451	-0.104868255749227	-0.250558699455806	-0.0354812592888164	-0.0403832320033452	-0.088099771764322	-0.0865807141716754	0.178259426181618	-0.0748032884524152	0.115405439153182	0.127237073914659	0.305253802461972	-0.280708800617602	0.0216092241670447	0.21336389558135	0.235739071929873	-0.162792180482055	-0.203166537896672
HALLMARK_HYPOXIA	0.134376350596907	-0.193310243112171	0.0111003098727122	-0.0125680919593856	0.049770229373202	0.115691063031887	-0.311015780371893	0.326197886527038	0.092751325131298	-0.135622740597087	0.157345349763704	0.142755911514759	0.106778350569104	-0.0808271615648791	-0.183799309815484	-0.172072850380772	0.167774834902412	0.218117967102054	0.180929691339605	-0.209535924595797	0.0066522495541219	0.147144321686131	0.209173439183062	0.330799651893653	0.124365749295988	-0.175649806784507	0.0948272511306315	0.179073182552313	0.150707816596808	0.0577049866255454	0.295574792965349	-0.0358002593620108	-0.272860114980661	0.281026244322526	0.0966669269660242	0.139636823757638	-0.233248740024219	-0.281781643192988	-0.232709317921915	-0.17129448652982	-0.0740101107223109	0.188263026989386	0.269785740972224	0.032839113758341	-0.0985461205889189	-0.0168883083897231	0.27532443650503	-0.0165118505686187	0.179711871842283	-0.0822589956906188	0.208927422972125	0.254368607868224	0.284805506787021	0.0208571253474269	0.362121185154951	0.165062828696038	0.269529646184738	0.0856244440592652	-0.199821004858402	0.0447888244357909	-0.128077809762103	-0.0140399822558065	-0.142867270450681	0.242726909495055	-0.0651506843484409	0.160019234332145	0.161506773912068	0.217608902680881	-0.159827095138469	-0.109428303106388	0.284959239219032	0.078239442287342	-0.0458403969461843	-0.0853639704350384
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.117773458554337	-0.0818118070776042	-0.010803766826511	0.132561562106136	0.189894742412632	0.229965586981206	-0.130481527788533	0.224366786076289	0.0953099836323046	-0.141107877936673	0.140058009657454	0.0600866739670513	0.173900833346896	-0.0179087096984112	-0.149893185424909	-0.14653856819322	0.166117933621549	0.19841077060791	0.157515698222194	-0.194658099094991	0.035485912892326	-0.0188617900050062	0.126430878290096	0.170972322433083	0.193800680840836	-0.00588740757211777	0.0998083054742449	0.103484785759745	0.183043757678118	0.123264092433344	0.0456020668081117	0.0863421383455367	-0.109456942408194	0.121869419302732	0.149433423066222	0.027871064321699	-0.317884304181307	-0.256096619375696	-0.129085260181022	-0.0761586568018924	0.116411308305231	0.194459935403477	0.18205344432278	0.159716767524963	-0.102566796505074	-0.0513540187799466	0.223653063233635	-0.170343852511711	0.0994758018432371	0.0881204445675525	0.0980604532906038	0.282251270524398	0.215305426497608	-0.000217662170722108	0.17353386723046	0.181578545526384	0.154753655216773	-0.0792754436368031	-0.130126519182888	0.099443592725737	0.0308113317662959	0.194583265955896	-0.0457220927868576	0.240228839153764	0.0837505002680847	0.267079914849821	0.177798055431002	0.24263928945886	0.0206422739401136	-0.113330430925067	0.191710931437131	0.194439650129424	0.0141907454731337	-0.0064953330480316
HALLMARK_MITOTIC_SPINDLE	0.197469961928205	-0.129360324341845	-0.240993211083765	0.359116500444931	0.361286498158106	0.00279615937571917	-0.296836056513711	-0.0344535572709272	0.00586178311632815	0.373700663202004	-0.149746217657038	0.051135403656068	0.0104675463581164	-0.258929116398658	-0.120075296059297	0.123484117554417	-0.134375428289792	0.158369973511793	-0.0168790834591351	-0.108049486288376	-0.0151287414850565	0.0807174208260213	-0.026152097966929	0.0546653464232442	-0.28135298451561	-0.109849503366676	0.152079146158697	0.308310370530201	-0.0968978277786553	-0.00464737047806951	-0.214852739873569	0.144554492330092	0.262879077919074	0.0517827048936654	0.24387836785144	0.0143733046605174	-0.261719766635463	-0.172332291572759	-0.151524885446784	0.0885642575870364	-0.132493976030525	0.0946614805063312	0.275839063216963	0.0411484407108661	-0.215321197871936	-0.361912883250256	0.235860849927217	-0.258516371042558	-0.149261663774841	-0.00565816276447015	0.136134816965345	0.0333174444539959	0.105403036134931	0.318602038654813	-0.231805283483039	-0.247545164493753	0.270502666171544	0.21470820115943	0.10006029599314	0.0184738401808248	0.111959413314379	0.173513375637174	0.199505135276062	0.315252110316967	0.395321121316833	0.398017619616038	0.0522665669582041	0.0185226453300713	0.287289284593255	-0.199460200621612	-0.219909563152804	-0.262442669338553	0.254023304638811	0.41738314218745
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.175570167869315	-0.000742014633036583	-0.0893338704295509	0.186310653351821	0.225278590021534	-0.0809893590346519	0.0330934234529938	0.00215419502672727	0.101885193017373	-0.201993771422892	0.0605691774674163	0.240646049122818	0.0722068751277448	-0.0311804854968764	-0.0659966660364278	0.114164167300339	-0.1421731924786	-0.000819776654403983	0.00627510013192305	-0.0523696727058066	0.297965861144984	-0.0635035690320352	-0.0957664916760312	-0.136397576097865	-0.0855486188353547	0.0441280779994889	0.0349902943050174	-0.111108388673228	-0.0232120827092975	-0.0817626260386603	-0.106735233364929	0.0967915664136641	-0.166948661884631	-0.063976460409221	0.119320309228595	0.0944841488807494	-0.193978759864701	-0.0273035123153196	-0.0130909207597423	0.246688350908142	0.0480247998598696	0.073065051648966	-0.0788889716988902	0.150422224323589	0.210361117465083	0.0828991707188924	0.0248564475664905	0.0925486013176546	-0.281613806242375	0.128346984877485	-0.147662346150221	0.20855654024844	0.29686381669606	0.0758345523654366	-0.0932364073970659	0.013127998108926	-0.0185883374177304	-0.184044635813245	0.0673829055626886	-0.17092199628985	0.125226362567424	0.162191507056657	0.197478070175588	0.237949424104936	0.0433386354110758	0.0715476743414467	0.0810163344017977	0.0642743065147736	0.276694824671638	0.207938161599174	0.0192433832797457	0.0789709916680913	0.198706336334348	0.148567952560177
HALLMARK_TGF_BETA_SIGNALING	0.177853680326139	-0.127487056223069	0.104286396514877	-0.0174263953692104	-0.0302173818992681	0.0109143596103639	-0.0766062024130666	0.400026809837334	0.175896644885514	-0.195962387809003	0.197997633978665	0.0829251693224714	0.0648669229305739	-0.00757489529756218	-0.299068473444273	-0.261660903153763	0.161604441453241	0.383366615201895	0.229464490866527	-0.203279248658984	-0.120639114949107	0.0520414613989708	0.136374064863756	0.312893456643441	0.0917534269934016	-0.0118668922939385	-0.0800670055570942	0.108319121917812	0.196653556275231	0.0187714520181068	0.2540281668297	-0.0432772451560312	-0.243706017076327	0.331368940738854	-0.0518074657665129	0.127106720860646	-0.20849737335203	-0.208925622653606	-0.199571187053931	-0.324370915154052	-0.176931106178767	0.233024366207349	0.331189074072891	-0.0169858308171521	0.0746764338270359	0.0704982390848757	0.194501465520627	0.197095548216239	0.0744510952155234	-0.0254224457268201	0.141088295399212	0.0516894491235144	0.308590210653782	-0.158609592908963	0.351634958962371	0.0308625713305334	0.261832881209827	-0.0903030825554376	-0.290653282950991	-0.155380622284513	0.0551836149441396	-0.0214987182691323	-0.0190034956200355	0.262393499104865	-0.0826800120009717	0.22909439605979	0.0105932282931388	0.292218009543623	-0.200635969357164	0.15630674428827	0.220665290182052	0.127041489635821	-0.184718579118508	-0.146494400212684
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.0108258106088209	-0.210514006982837	-0.0229990305047282	-0.0363764394310602	-0.102889848920038	-0.0149911057376739	-0.199696752054553	0.365249909603201	0.0298831870629049	-0.168000678502554	0.225953872713306	-0.0938676297965494	0.105126857376334	0.129859586489468	-0.0990207445377935	-0.298854066089777	0.267061073071109	0.143020116669551	0.264746165510815	-0.217227313253451	-0.0845394375851566	0.197470628783675	0.222598013841799	0.359759127544407	0.176470921082562	-0.0437188538589718	0.222054250314026	0.20326783321208	0.0399301993770809	0.0173408236962082	0.276955545998816	0.00915009071608017	-0.258428382278239	0.342463972307577	-0.0392694233123612	-0.102749003227773	-0.025067634854409	-0.131835134616978	-0.235095916180546	-0.196266739124182	-0.244550051846892	0.17177795391654	0.11188583538106	0.0455241771649448	-0.130572840036083	0.194247909877117	0.22924179463195	0.0470409476608192	0.184638113734991	-0.084291047485886	0.294560544589342	0.0547619456662314	0.0779775578874958	-0.0327574527884489	0.348750696810347	0.150900608878232	0.229008252271981	0.0857790499235319	-0.245558739945744	-0.100296391571599	-0.143291437849997	-0.108090407059914	-0.150670883952525	0.096050019191162	-0.058686795011196	0.068977992323368	0.161318244805428	0.316338250414087	-0.229169796948586	-0.0781550693857048	0.284961389976235	0.153092961455485	-0.0903090901758924	-0.164118841000461
HALLMARK_DNA_REPAIR	0.10025641025641	-0.155128205128205	-0.284358974358974	0.360769230769231	-0.0366666666666667	-0.124358974358974	-0.229487179487179	0.392564102564103	0.134615384615385	-0.504871794871795	0.29974358974359	-0.15	0.138205128205128	0.341794871794872	0.0976923076923077	-0.458717948717949	0.104358974358974	-0.173589743589744	0.495128205128205	-0.143846153846154	-0.147948717948718	0.407435897435897	0.42948717948718	0.450512820512821	0.421282051282051	-0.0571794871794872	0.246923076923077	0.440769230769231	-0.09	-0.25	0.475641025641026	0.124358974358974	-0.392051282051282	0.448974358974359	0.0946153846153846	-0.387948717948718	0.152051282051282	-0.374102564102564	-0.373076923076923	-0.305384615384615	-0.448974358974359	0.381282051282051	-0.164358974358974	0.0561538461538462	-0.406923076923077	0.480769230769231	0.255641025641026	-0.357692307692308	-0.225384615384615	-0.0546153846153846	0.439230769230769	-0.0961538461538462	-0.212564102564103	0.131538461538462	0.392051282051282	-0.119230769230769	0.132564102564103	0.351538461538462	-0.473589743589744	-0.328974358974359	-0.187948717948718	-0.374615384615385	-0.287948717948718	0.0258974358974359	0.0187179487179487	0.0582051282051282	0.127435897435897	0.331538461538462	-0.454102564102564	0.0833333333333333	0.446410256410256	-0.21	-0.435128205128205	-0.49974358974359
HALLMARK_G2M_CHECKPOINT	0.174237021910403	-0.282488316191206	-0.245683841923743	0.349411166494879	0.385332025900543	0.0189900300416557	-0.234911543425968	-0.0275622337003935	0.00764587615825643	0.353703702336507	-0.0770434877779509	0.131871185240527	0.0404968793605552	-0.236099632238936	-0.332174694988913	0.204271772860822	-0.0935930391926534	0.0385233534399859	-0.065873992368929	-0.283120411805448	-0.00629504822420312	0.064322707570774	-0.15804788433672	0.0730587152192631	-0.238465832098253	-0.107284243211096	0.118954494908334	0.278579786954127	-0.161414518590797	-0.0025965280116764	-0.11020479107791	0.166403769686958	0.20493881084488	0.0925169136899586	0.241803956948732	-0.02169193208691	-0.261811052633239	-0.157721593559026	-0.122167210246848	0.0286032164804211	-0.145668817584632	0.200228934405518	0.290190339823068	0.018903486771729	-0.206988921281591	-0.207232698880189	0.188815437037763	-0.241108391311737	-0.275838249534833	0.112670241472979	0.133882170202576	0.16998133225209	0.174751810948359	0.355835496507206	-0.121530847079354	-0.194604367074932	0.235996273997062	0.213762041923323	0.0319493264734753	-0.107149684330627	0.0272945082305067	0.139968013649659	0.225001667539292	0.258563203135835	0.376841015451093	0.346151333425682	0.0937104278840143	-0.0198948666055734	0.306072747169874	-0.12481667665947	-0.0983686825281862	-0.209630182674408	0.332169125816476	0.371551430827055
HALLMARK_APOPTOSIS	0.0602648238838284	-0.125434680097059	-0.0399079498037008	0.0730677971644264	0.0414090783808457	0.0982746761499906	-0.184621848582343	0.278443825923205	0.0574961290851362	-0.0832553461025415	0.171444993499124	0.121556827978456	0.103217440195933	0.0762062600478458	-0.198509575375153	-0.175208490192526	0.181578168380537	0.185331522654974	0.227996134766449	-0.215819381931568	-0.0861798947586315	0.0866946846811279	0.244575573096653	0.266443049648971	0.20203323423816	0.0290755470478056	0.122574416575553	0.0606704467625294	0.0776756659286156	0.115874233399521	0.137681565226022	0.0492362384780477	-0.152979320673729	0.258405151170129	0.0368055871134099	0.0281731126381548	-0.194991176752639	-0.254569626958803	-0.193201290641316	-0.050398458427521	-0.0898006665044635	0.219527768552523	0.221121474994972	0.00897793592490863	-0.0805558116434634	0.0765311481463993	0.22528369280503	-0.0939303289820417	0.146516719103206	-0.0516379548867029	0.211460605752536	0.163590553661016	0.166536590701953	-0.0480777274188574	0.249742308926257	0.128326060994134	0.179977872931482	0.0860467069427329	-0.162169483261421	0.0690962278980407	-0.0240170472804119	0.0973282554922194	-0.0479992992709838	0.158297443298242	-0.0181859417199614	0.182812032736619	0.16212462278857	0.271577669623111	-0.144780652962807	-0.0873829429488811	0.219486017608216	0.170340243293248	0.0117103675445444	-0.0813270488314225
