a	s	folder	dir	p	co_wes	note
A00945	T9450021R-RT	R20034806LU01	Project_s440e26604_15Samples_20200816_1597570099	P23KYA00945PDL		
A09937	A09937cDNA	IDT-library-2	Project_s440g01014_18Samples_20191229	P23A09937L2		
A08570	T5704361R-RT	R19031682LU01	Project_s440e26217_2Samples_20190715	P230857001		
A05725	T7253211-RT	R20013581LU01	Project_s440e26499_42Samples_20200430	P23KYA05725CC		
A02537	T5372782RA-RT	R20012898LU01	Project_s440e26495_56Samples_20200425	P23KYA02537CC		
A10428	T4281662R-RT	R19056909LU01	Project_s440e26395_1Samples_20200103	P231042801		
AZS17P	ZS_17P	ZS_17P	zhongshan_huangxiaowu	P23BIAZS17P		
A11930	T9307982R-RT	R20028663LU01	Project_s440e26572_6Samples_20200718_1595069468	P231193001		
A10123	T1234161R-RT	R19050738LU01	Project_s440e26363_6Samples_20191120	P231012301		
A04569	T5694761RA-RT	R20014344LU01	Project_s440e26505_46Samples_20200505	P23KYA04569CC		
A11660	T6605991R-RT	R20024738LU01	Project_s440e26552_3Samples_20200630	P231166001		
A10995	T9955532R-RT	R20010026LU01	Project_s440e26474_6Samples_20200402	P231099501		
A12022	T0224401R-RT	R20032121LU01	Project_s440e26591_7Samples_20200804_1596543251	P231202202		
A08330	T3308981R-RT	R19030303LU01	Project_s440e26209_10Samples_20190708	P230833001		
A08540	T5407492R-RT	R19031165LU01	Project_s440e26212_4Samples_20190710	P230854001		
A09533	T5337401R1-RT	R19043060LU01	Project_s440e26317_4Samples_20191004	P230953301		
A10637	T6378082R-RT	R20001223LU01	Project_s440e26420_6Samples_20200115	P231063701		
A09694	T6948532R-RT	R19044241LU01	Project_s440e26326_3Samples_20191018	P230969401		
A10894	T8947921R-RT	R20008407LU01	Project_s440e26460_1Samples_20200319	P231089401		
A11398	T3985721R-RT	R20018562LU01	Project_s440e26525_3Samples_20200530	P231139801		
A07978	T9789531R-RT	R19023850LU01	Project_s440e26156_6Samples_20190528	P230797801		
A06268	T2681792RA-RT	R20012918LU01	Project_s440e26495_56Samples_20200425	P23KYA06268CC		
A09026	T0261452R-RT	R19036102LU01	Project_s440e26260_7Samples_20190819	P230902601		
A01378	T3784021R-RT	R20016281-T3784021R-RT	Project_s440g01021_10Samples_20200519	P23KYA01378		
A06723	T7239831R-TR	R19004267LU01	Project_s440e26015_4Samples_20190131	P230672301		
A11802	T8025102R-RT	R20025247LU01	Project_s440e26557_8Samples_20200704	P231180201		
A10823	T8238712R-RT	R20024989-pool3-T8238712R-RT-pre	Project_s440g01025_60Samples_20200701	P23KYA10823HM1		
A11040	T0408651R-RT	R20011464LU01	Project_s440e26485_6Samples_20200413	P231104001		
A08085	T0851952R-RT	R19026644LU01	Project_s440e26175_7Samples_20190611	P230808501		
A08555	T5553430R-RT	R19040508LU01	Project_s440e26294_11Samples_20190916	P23A08555T		
A11101	T1011441R-RT	R20013551LU01	Project_s440e26499_42Samples_20200430	P231110101		
A06282	T2822942-TR	R18073811LU01	Project_s440e03557_5Samples_20181228	P2306282		
A11100	T1001901R-RT	R20012268LU01	Project_s440e26490_9Samples_20200420	P231110001		
A11959	T9592081R-RT	R20030014LU01	Project_s440e26580_6Samples_20200725_1595671962	P231195901		
A09230	T2303911R-RT	R19038051LU01	Project_s440e26278_8Samples_20190903	P230923001		
A03545	T5454242-RT	R20013601LU01	Project_s440e26499_2Samples_20200430	P23KYA03545half		
A06979	T9793971R-RT	R20014328LU01	Project_s440e26505_46Samples_20200505	P23KYA06979CC		
A08719	T7198231R-RT	R19033383LU01	Project_s440e26235_5Samples_20190728	P230871901		
A11926	T9266652R-RT	R20029014LU01	Project_s440e26575_5Samples_20200720_1595240086	P231192601		
A07499	T4998561R-TR	R19017376LU01	Project_s440e26099_4Samples_20190415	P230749901		
A09653	T6535791R-RT	R19043603LU01	Project_s440e26323_9Samples_20191013	P230965301		
A11504	T5044072R-RT	R20022086LU01	Project_s440e26540_8Samples_20200615	P231150401		
A12138	T1381011R-RT	R20034803LU01	Project_s440e26604_15Samples_20200816_1597570099	P231213801		
A10006	T0065801R-RT	R19048984LU01	Project_s440e26352_2samples_20191115	P231000601		
A09008	T0088621R-RT	R19035779LU01	Project_s440e26256_8Samples_20190817	P230900801		
AZS18P	ZS_18P	ZS_18P	zhongshan_huangxiaowu	P23BIAZS18P		
A09017	T0178401R-RT	R19035790LU01	Project_s440e26256_8Samples_20190817	P230901701		
A09737	T7378721R-RT	R19045490LU01	Project_s440e26332_4Samples_20191025	P230973701		
A09869	T8698062R-RT	R19047485LU01	Project_s440e26342_11Samples_20191104	P230986901		
A01378	T3784021R-RT-1	R20024994-pool8-T3784021R-RT-pre-1	Project_s440g01025_60Samples_20200701	P23KYA01378HM12		
A10800	T8006051R-RT	R20003997LU01	Project_s440e26440_8Samples_20200224	P231080001		
A09861	T8617642R-RT	R19046348LU01	Project_s440e26338_6Samples_20191031	P230986101		
A10047	T0476812R1-RT	R19050370LU01	Project_s440e26360_8Samples_20191117	P231004701		
A10212	T2126832R-RT	R19053639LU01	Project_s440e26377_12Samples_20191201	P231021201		
A10059	T0592021R-RT	R20013981LU01	Project_s440e26502_61Samples_20200502	P23KYA10059CC		
A01554	T5544691R-RT	R20034808LU01	Project_s440e26604_15Samples_20200816_1597570099	P23KYA01554PDL1		
A11888	T8885661R-RT	R20029006LU01	Project_s440e26575_2Samples_20200723_1595481514	P231188801		
A07349	T3496861RA-RT	R20014009LU01	Project_s440e26502_61Samples_20200502	P23KYA07349CC		
A09903	T9034141R-RT	R19048979LU01	Project_s440e26352_2samples_20191115	P230990301		
A10307	T3074131R-RT	R19058550LU01	Project_s440e26408_2Samples_20200102	P231030701		
A10569	T5698531R-RT	R20000334LU01	Project_s440e26413_8Samples_20200108	P231056901		
A11799	T7992731R-RT	R20025245LU01	Project_s440e26557_8Samples_20200704	P231179901		
A10823	T8238712R-RT	R20028193-WES4-RT-T8238712R-RT	Project_s440g01027_8Samples_20200714_1594663925	P23KYA10823M4		
A04833	T8336888RA-RT	R20014012LU01	Project_s440e26502_61Samples_20200502	P23KYA04833CC		
A09849	T8493382R-RT	R19045997LU01	Project_s440e26336_20Samples_20191028	P230984901		
A11416	T4169921R-RT	R20019125LU01	Project_s440e26528_9Samples_20200601	P231141601		
A05203	T2039211-TR	R18059861LU01	Project_s440e03480_5Samples_181008	P2305203B		
A11414	T4145331R-RT	R20029966-A11414RT-IVGN-half	Project_s440g01029_8Samples_20200727_1595841123	P23A11414SShalf		
A11421	T4218872R-RT	R20029967-A11421RT-IVGN-half	Project_s440g01029_8Samples_20200727_1595841123	P23A11421SShalf		
A10461	T4618591R-RT	R19058116LU01	Project_s440e26406_4Samples_20191229	P231046101		
A08603	T6031920-RT	R19040507LU01	Project_s440e26294_11Samples_20190916	P23A08603T		
A10541	T5418232R-RT	R20000306LU01	Project_s440e26413_8Samples_20200108	P231054101		
A11828	T8281581R-RT	R20025255LU01	Project_s440e26557_8Samples_20200704	P231182801		
A12176	T1761451R-RT	R20036456LU01	Project_s440e26608_8Samples_20200818_1597741963	P231217601		
A10428	T4281662R-RT	R19056909LU01	Project_s440e26395_1Samples_20191230	P231042801		
AZS6P	ZS_6P	ZS_6P	zhongshan_huangxiaowu	P23BIAZS6P		
A11944	T9444292R-RT	R20030009LU01	Project_s440e26580_6Samples_20200725_1595671962	P231194401		
A09738	T7384281R-RT	R20025241LU01	Project_s440e26557_8Samples_20200704	P230973801		
A10919	T9195331R-RT	R20010027LU01	Project_s440e26474_6Samples_20200402	P231091901		
A11414	T4145331R-RT	R20029962-A11414RT-IVGN-all	Project_s440g01029_8Samples_20200727_1595841123	P23A11414SSall		
A09239	T2394772R-RT	R19038058LU01	Project_s440e26278_8Samples_20190903	P230923901		
A10249	T2497202R-RT	R19054582LU01	Project_s440e26383_2Samples_20191210	P231024901		
A03536	T5368331RA-RT	R20014000LU01	Project_s440e26502_61Samples_20200502	P23KYA03536CC		
A08934	T9347091R-RT	R19035662LU01	Project_s440e26253_6Samples_20190815	P230893401		
A09654	T6543211R-RT	R19045119LU01	Project_s440e26329_3Samples_20191021	P230965402		
A10760	T7603311R-RT	R20004345LU01	Project_s440e26442_1Samples_20200229	P231076001		
A01378	T3784021R-RT	R20024989-pool3-T3784021R-RT-pre	Project_s440g01025_60Samples_20200701	P23KYA01378HM11		
A07325	T3253791R-TR	R19013856LU01	Project_s440e26085_5Samples_20190402	P230732501		
A10518	T5187761R-RT	R20000301LU01	Project_s440e26413_8Samples_20200108	P231051801		
A09220	T2205988R-RT	R19038612LU01	Project_s440e26280_7Samples_20190905	P230922001		
A04324	T3249782-RT	R20014316LU01	Project_s440e26505_9Samples_20200508	P23KYA04324CC		
A09804	T8041382R-RT	BKDL202570165-1a-A53	20200420-PE150-B1-pool-3/1.rawdata	P23KY0980401		
A07351	T3512751R-TR	R19013875LU01	Project_s440e26085_5Samples_20190402	P230735101		
A05814	T8141011-TR	R18067776LU01	Project_s440e03521_3Samples_20181125	P2305814		
A07613	T6138802R-RT	R19025602LU01	Project_s440e26167_3Samples_20190603	-		
A09967	T9677722R-RT	R19048980LU01	Project_s440e26352_6Samples_20191111	P230996701		
A09616	T6168421R-RT	R19047484LU01	Project_s440e26342_11Samples_20191104	P230961601		
A11927	T9277022R-RT	R20029017LU01	Project_s440e26575_5Samples_20200720_1595240086	P231192701		
A09458	T4582912R-RT	R19047483LU01	Project_s440e26342_11Samples_20191104	P230945802		
A07353	T3531908R2-TR	R19017361LU01	Project_s440e26099_4Samples_20190415	P230735301		
A09264	T2645061R-RT	R19038625LU01	Project_s440e26280_7Samples_20190905	P230926401		
A06178	T1782332RA-RT	R20012916LU01	Project_s440e26495_56Samples_20200425	P23KYA06178CC		
A10814	T8147342R-RT-2	R20024994-pool8-T8147342R-RT-pre-2	Project_s440g01025_60Samples_20200701	P23KYA10814HM13		
A08434	T4345371R-RT	R19029332LU01	Project_s440e26200_7Samples_20190630	P230843401		
A09705	T7055321R-RT	R19045123LU01	Project_s440e26329_11Samples_20191020	P230970502		
A05331	T3317201-RT	R20013599LU01	Project_s440e26499_42Samples_20200430	P23KYA05331half		
A08442	T4426182R-RT	R19029335LU01	Project_s440e26200_7Samples_20190630	P230844201		
A04408	T4086841-RT	R20014042LU01	Project_s440e26502_4Samples_20200505	P23KYA04408CC		
A01061	T0611382RA-RT	R20012892LU01	Project_s440e26495_56Samples_20200425	P23KYA01061CC		
A05305	T3057551-RT	BKDL202570165-1a-A38	20200420-PE150-B1-pool-3/1.rawdata	P23KY05305		
A08861	T8616801R-RT	R19034322LU01	Project_s440e26240_8Samples_20190806	P230886101		
A09935	T9358201R-RT	R19056431LU01	Project_s440e26392_15Samples_20191220	P230993501		
A09946	T9467448RA-RT	R20012885LU01	Project_s440e26495_56Samples_20200425	P23KYA09946CC		
A10277	T2772671R-RT	R19054944LU01	Project_s440e26385_2Samples_20191221	P231027701		
A10359	T3592112R-RT	BKDL202570165-1a-A13	20200420-PE150-B1-pool-3/1.rawdata	P23KY1035901		
A10781	T7812086RA-RT	R20016281-T7812086RA-RT	Project_s440g01021_10Samples_20200519	P23KYA10781		
A08468	T4684802R-RT	R19030268LU01	Project_s440e26209_10Samples_20190708	P230846801		
A06069	T0693951R-TR	R19005071LU01	Project_s440e26024_2Samples_20190217	P230606901		
A06804	T8044232R1-TR	R19005495LU01	Project_s440e26032_3Samples_20190220	P230680401		
A09706	T7069172R-RT	R19045124LU01	Project_s440e26329_11Samples_20191020	P230970601		
A10197	T1973822R2-RT	R19054942LU01	Project_s440e26385_3Samples_20191217	P231019701		
A10230	T2304731R-RT	R19053642LU01	Project_s440e26377_12Samples_20191201	P231023001		
A08835	T8353721R-RT	R19041626LU01	Project_s440e26305_1Samples_20190926	P230883501		
A09935	T9356042R-RT	R19047493LU01	Project_s440e26342_1samples_20191109	P230993501		
A09460	T4602411R-RT	R20013989LU01	Project_s440e26502_61Samples_20200502	P23KYA09460CC		
A12038	T0389201R-RT	R20031319LU01	Project_s440e26588_10Samples_20200802_1596370324	P231203801		
A11056	T0562382R-RT	R20011467LU01	Project_s440e26485_6Samples_20200413	P231105601		
A11466	T4667001R-RT	R20021549LU01	Project_s440e26538_7Samples_20200613	P231146601		
