"","V1","V2"
"1","JUNB","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"2","CXCL2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"3","ATF3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"4","NFKBIA","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"5","TNFAIP3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"6","PTGS2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"7","CXCL1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"8","IER3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"9","CD83","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"10","CCL20","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"11","CXCL3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"12","MAFF","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"13","NFKB2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"14","TNFAIP2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"15","HBEGF","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"16","KLF6","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"17","BIRC3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"18","PLAUR","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"19","ZFP36","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"20","ICAM1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"21","JUN","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"22","EGR3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"23","IL1B","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"24","BCL2A1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"25","PPP1R15A","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"26","ZC3H12A","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"27","SOD2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"28","NR4A2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"29","IL1A","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"30","RELB","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"31","TRAF1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"32","BTG2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"33","DUSP1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"34","MAP3K8","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"35","ETS2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"36","F3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"37","SDC4","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"38","EGR1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"39","IL6","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"40","TNF","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"41","KDM6B","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"42","NFKB1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"43","LIF","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"44","PTX3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"45","FOSL1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"46","NR4A1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"47","JAG1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"48","CCL4","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"49","GCH1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"50","CCL2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"51","RCAN1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"52","DUSP2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"53","EHD1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"54","IER2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"55","REL","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"56","CFLAR","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"57","RIPK2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"58","NFKBIE","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"59","NR4A3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"60","PHLDA1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"61","IER5","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"62","TNFSF9","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"63","GEM","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"64","GADD45A","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"65","CXCL10","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"66","PLK2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"67","BHLHE40","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"68","EGR2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"69","SOCS3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"70","SLC2A6","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"71","PTGER4","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"72","DUSP5","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"73","SERPINB2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"74","NFIL3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"75","SERPINE1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"76","TRIB1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"77","TIPARP","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"78","RELA","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"79","BIRC2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"80","CXCL6","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"81","LITAF","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"82","TNFAIP6","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"83","CD44","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"84","INHBA","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"85","PLAU","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"86","MYC","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"87","TNFRSF9","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"88","SGK1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
