"","V1","V2"
"1","CCL1","aDC"
"2","EBI3","aDC"
"3","IDO1","aDC"
"4","LAMP3","aDC"
"5","OAS3","aDC"
"6","ABCB4","B cells"
"7","BACH2","B cells"
"8","BCL11A","B cells"
"9","BLK","B cells"
"10","BLNK","B cells"
"11","CCR9","B cells"
"12","CD19","B cells"
"13","CD72","B cells"
"14","COCH","B cells"
"15","CR2","B cells"
"16","DTNB","B cells"
"17","FCRL2","B cells"
"18","GLDC","B cells"
"19","GNG7","B cells"
"20","HLA-DOB","B cells"
"21","HLA-DQA1","B cells"
"22","IGHA1","B cells"
"23","IGHG1","B cells"
"24","IGHM","B cells"
"25","IGKC","B cells"
"26","KIAA0125","B cells"
"27","MEF2C","B cells"
"28","MICAL3","B cells"
"29","OSBPL10","B cells"
"30","PNOC","B cells"
"31","QRSL1","B cells"
"32","SCN3A","B cells"
"33","SLC15A2","B cells"
"34","SPIB","B cells"
"35","TCL1A","B cells"
"36","TNFRSF17","B cells"
"37","ABT1","CD8 T cells"
"38","AES","CD8 T cells"
"39","APBA2","CD8 T cells"
"40","ARHGAP8","CD8 T cells"
"41","MAPKAPK5-AS1","CD8 T cells"
"42","TMEM259","CD8 T cells"
"43","HAUS3","CD8 T cells"
"44","CAMLG","CD8 T cells"
"45","CD8A","CD8 T cells"
"46","CD8B","CD8 T cells"
"47","CDKN2AIP","CD8 T cells"
"48","DNAJB1","CD8 T cells"
"49","FLT3LG","CD8 T cells"
"50","GADD45A","CD8 T cells"
"51","GZMM","CD8 T cells"
"52","KLF9","CD8 T cells"
"53","LEPROTL1","CD8 T cells"
"54","LIME1","CD8 T cells"
"55","KAT6A","CD8 T cells"
"56","PF4","CD8 T cells"
"57","PPP1R2","CD8 T cells"
"58","PRF1","CD8 T cells"
"59","PRR5","CD8 T cells"
"60","RBM3","CD8 T cells"
"61","SF1","CD8 T cells"
"62","SRSF7","CD8 T cells"
"63","SLC16A7","CD8 T cells"
"64","TBCC","CD8 T cells"
"65","THUMPD1","CD8 T cells"
"66","TMC6","CD8 T cells"
"67","TSC22D3","CD8 T cells"
"68","VAMP2","CD8 T cells"
"69","ZEB1","CD8 T cells"
"70","ZFP36L2","CD8 T cells"
"71","ZNF22","CD8 T cells"
"72","ZNF609","CD8 T cells"
"73","ZNF91","CD8 T cells"
"74","APBA2","Cytotoxic cells"
"75","APOL3","Cytotoxic cells"
"76","CTSW","Cytotoxic cells"
"77","DUSP2","Cytotoxic cells"
"78","GNLY","Cytotoxic cells"
"79","GZMA","Cytotoxic cells"
"80","GZMH","Cytotoxic cells"
"81","KLRB1","Cytotoxic cells"
"82","KLRD1","Cytotoxic cells"
"83","KLRF1","Cytotoxic cells"
"84","KLRK1","Cytotoxic cells"
"85","NKG7","Cytotoxic cells"
"86","RORA","Cytotoxic cells"
"87","RUNX3","Cytotoxic cells"
"88","SIGIRR","Cytotoxic cells"
"89","WHAMMP3","Cytotoxic cells"
"90","ZBTB16","Cytotoxic cells"
"91","CCL13","DC"
"92","CCL17","DC"
"93","CCL22","DC"
"94","CD209","DC"
"95","HSD11B1","DC"
"96","NPR1","DC"
"97","PPFIBP2","DC"
"98","ABHD2","Eosinophils"
"99","ACACB","Eosinophils"
"100","C9orf156","Eosinophils"
"101","CAT","Eosinophils"
"102","CCR3","Eosinophils"
"103","CLC","Eosinophils"
"104","CYSLTR2","Eosinophils"
"105","EMR1","Eosinophils"
"106","EPN2","Eosinophils"
"107","GALC","Eosinophils"
"108","PTGDR2","Eosinophils"
"109","HES1","Eosinophils"
"110","HIST1H1C","Eosinophils"
"111","HRH4","Eosinophils"
"112","CD101","Eosinophils"
"113","IL5RA","Eosinophils"
"114","KBTBD11","Eosinophils"
"115","KCNH2","Eosinophils"
"116","LRP5L","Eosinophils"
"117","MYO15B","Eosinophils"
"118","RCOR3","Eosinophils"
"119","RNASE2","Eosinophils"
"120","RRP12","Eosinophils"
"121","SIAH1","Eosinophils"
"122","SMPD3","Eosinophils"
"123","SYNJ1","Eosinophils"
"124","TGIF1","Eosinophils"
"125","THBS1","Eosinophils"
"126","THBS4","Eosinophils"
"127","TIPARP","Eosinophils"
"128","TKTL1","Eosinophils"
"129","ABCG2","iDC"
"130","BLVRB","iDC"
"131","CARD9","iDC"
"132","CD1A","iDC"
"133","CD1B","iDC"
"134","CD1C","iDC"
"135","CD1E","iDC"
"136","CH25H","iDC"
"137","CLEC10A","iDC"
"138","CSF1R","iDC"
"139","CTNS","iDC"
"140","F13A1","iDC"
"141","FABP4","iDC"
"142","FZD2","iDC"
"143","GSTT1","iDC"
"144","GUCA1A","iDC"
"145","HS3ST2","iDC"
"146","LMAN2L","iDC"
"147","MMP12","iDC"
"148","MS4A6A","iDC"
"149","NUDT9","iDC"
"150","PDXK","iDC"
"151","PPARG","iDC"
"152","PREP","iDC"
"153","RAP1GAP","iDC"
"154","SLC26A6","iDC"
"155","SLC7A8","iDC"
"156","SYT17","iDC"
"157","TACSTD2","iDC"
"158","DCSTAMP","iDC"
"159","VASH1","iDC"
"160","APOE","Macrophages"
"161","ATG7","Macrophages"
"162","BCAT1","Macrophages"
"163","CCL7","Macrophages"
"164","CD163","Macrophages"
"165","CD68","Macrophages"
"166","CD84","Macrophages"
"167","CHI3L1","Macrophages"
"168","CHIT1","Macrophages"
"169","CLEC5A","Macrophages"
"170","COL8A2","Macrophages"
"171","COLEC12","Macrophages"
"172","CTSK","Macrophages"
"173","CXCL5","Macrophages"
"174","CYBB","Macrophages"
"175","DNASE2B","Macrophages"
"176","EMP1","Macrophages"
"177","FDX1","Macrophages"
"178","FN1","Macrophages"
"179","GM2A","Macrophages"
"180","GPC4","Macrophages"
"181","KAL1","Macrophages"
"182","MARCO","Macrophages"
"183","ME1","Macrophages"
"184","MS4A4A","Macrophages"
"185","MSR1","Macrophages"
"186","PCOLCE2","Macrophages"
"187","PTGDS","Macrophages"
"188","RAI14","Macrophages"
"189","SCARB2","Macrophages"
"190","SCG5","Macrophages"
"191","SGMS1","Macrophages"
"192","SULT1C2","Macrophages"
"193","ABCC4","Mast cells"
"194","ADCYAP1","Mast cells"
"195","CALB2","Mast cells"
"196","CEACAM8","Mast cells"
"197","CMA1","Mast cells"
"198","CPA3","Mast cells"
"199","CTSG","Mast cells"
"200","ELANE","Mast cells"
"201","GATA2","Mast cells"
"202","HDC","Mast cells"
"203","HPGD","Mast cells"
"204","HPGDS","Mast cells"
"205","KIT","Mast cells"
"206","MAOB","Mast cells"
"207","MLPH","Mast cells"
"208","MPO","Mast cells"
"209","MS4A2","Mast cells"
"210","NR0B1","Mast cells"
"211","PPM1H","Mast cells"
"212","PRG2","Mast cells"
"213","PTGS1","Mast cells"
"214","SCG2","Mast cells"
"215","SIGLEC6","Mast cells"
"216","SLC18A2","Mast cells"
"217","SLC24A3","Mast cells"
"218","TAL1","Mast cells"
"219","TPSAB1","Mast cells"
"220","TPSB2","Mast cells"
"221","VWA5A","Mast cells"
"222","ALPL","Neutrophils"
"223","BST1","Neutrophils"
"224","CD93","Neutrophils"
"225","CEACAM3","Neutrophils"
"226","CREB5","Neutrophils"
"227","CRISPLD2","Neutrophils"
"228","CSF3R","Neutrophils"
"229","CYP4F3","Neutrophils"
"230","DYSF","Neutrophils"
"231","FCAR","Neutrophils"
"232","FCGR3B","Neutrophils"
"233","CPPED1","Neutrophils"
"234","FPR1","Neutrophils"
"235","FPR2","Neutrophils"
"236","G0S2","Neutrophils"
"237","HIST1H2BC","Neutrophils"
"238","HPSE","Neutrophils"
"239","CXCR1","Neutrophils"
"240","CXCR2","Neutrophils"
"241","KCNJ15","Neutrophils"
"242","LILRB2","Neutrophils"
"243","MGAM","Neutrophils"
"244","MME","Neutrophils"
"245","PDE4B","Neutrophils"
"246","S100A12","Neutrophils"
"247","SIGLEC5","Neutrophils"
"248","SLC22A4","Neutrophils"
"249","SLC25A37","Neutrophils"
"250","TECPR2","Neutrophils"
"251","TNFRSF10C","Neutrophils"
"252","VNN3","Neutrophils"
"253","DUSP4","NK CD56bright cells"
"254","FOXJ1","NK CD56bright cells"
"255","LPCAT4","NK CD56bright cells"
"256","MADD","NK CD56bright cells"
"257","NIBP","NK CD56bright cells"
"258","MUC3B","NK CD56bright cells"
"259","MPPED1","NK CD56bright cells"
